Tarih,Para Birimi Kodu,İsim,Döviz Alış,Döviz Satış,Değişim Yönü
2026-04-14,USD,ABD DOLARI,44.6474,44.7278,%0.00
2026-04-14,EUR,EURO,52.6281,52.7229,%0.00
2026-04-14,GBP,İNGİLİZ STERLİNİ,60.3686,60.6833,%0.00
2026-04-14,CHF,İSVİÇRE FRANGI,57.0359,57.4021,%0.00
2026-04-14,KWD,KUVEYT DİNARI,144.9228,146.8192,%0.00
2026-04-14,USD,ABD DOLARI,44.6474,44.7278,%0.00
2026-04-14,EUR,EURO,52.6281,52.7229,%0.00
2026-04-14,GBP,İNGİLİZ STERLİNİ,60.3686,60.6833,%0.00
2026-04-14,CHF,İSVİÇRE FRANGI,57.0359,57.4021,%0.00
2026-04-14,KWD,KUVEYT DİNARI,144.9228,146.8192,%0.00
2026-04-14,USD,ABD DOLARI,44.6474,44.7278,%0.00
2026-04-14,EUR,EURO,52.6281,52.7229,%0.00
2026-04-14,GBP,İNGİLİZ STERLİNİ,60.3686,60.6833,%0.00
2026-04-14,CHF,İSVİÇRE FRANGI,57.0359,57.4021,%0.00
2026-04-14,KWD,KUVEYT DİNARI,144.9228,146.8192,%0.00
2026-04-14,USD,ABD DOLARI,44.6474,44.7278,%0.00
2026-04-14,EUR,EURO,52.6281,52.7229,%0.00
2026-04-14,GBP,İNGİLİZ STERLİNİ,60.3686,60.6833,%0.00
2026-04-14,CHF,İSVİÇRE FRANGI,57.0359,57.4021,%0.00
2026-04-14,KWD,KUVEYT DİNARI,144.9228,146.8192,%0.00
2026-04-15,USD,ABD DOLARI,44.6474,44.7278,%0.00
2026-04-15,EUR,EURO,52.6281,52.7229,%0.00
2026-04-15,GBP,İNGİLİZ STERLİNİ,60.3686,60.6833,%0.00
2026-04-15,CHF,İSVİÇRE FRANGI,57.0359,57.4021,%0.00
2026-04-15,KWD,KUVEYT DİNARI,144.9228,146.8192,%0.00
2026-04-16,USD,ABD DOLARI,44.6681,44.7485,+%0.05
2026-04-16,EUR,EURO,52.6350,52.7298,+%0.01
2026-04-16,GBP,İNGİLİZ STERLİNİ,60.4546,60.7697,+%0.14
2026-04-16,CHF,İSVİÇRE FRANGI,57.0137,57.3798,-%0.04
2026-04-16,KWD,KUVEYT DİNARI,144.9900,146.8872,+%0.05
